Booking_ID,Customer_ID,Package_ID,Payment_ID,Booking_Date,Travel_Date,Travelers_Count,Booking_Status,Discount_Percent,Final_Price,Customer_Rating,Booking_Channel
BK001,C093,PKG052,PAY001,2025-01-02,2025-02-01,1,Confirmed,10,7209,3,Mobile App
BK002,C095,PKG054,PAY002,2025-10-25,2025-11-21,2,Confirmed,0,134460,3,Website
BK003,C007,PKG059,PAY003,2025-07-23,2025-08-13,2,Confirmed,20,114520,3,Friend Referral
BK004,C114,PKG038,PAY004,2025-07-28,2025-08-15,3,Confirmed,10,94122,4,Mobile App
BK005,C110,PKG051,PAY005,2025-09-24,2025-10-18,4,Confirmed,20,190176,4,Mobile App
BK006,C123,PKG017,PAY006,2025-08-14,2025-09-26,3,Cancelled,5,60141,4,Website
BK007,C055,PKG044,PAY007,2025-10-27,2025-11-18,4,Confirmed,0,102520,4,Website
BK008,C004,PKG036,PAY008,2025-09-10,2025-10-27,2,Confirmed,0,158704,5,Mobile App
BK009,C034,PKG045,PAY009,2025-06-19,2025-08-05,4,Confirmed,0,355160,4,Website
BK010,C081,PKG001,PAY010,2025-03-16,2025-04-30,5,Confirmed,20,35760,3,Website
BK011,C047,PKG022,PAY011,2025-05-16,2025-06-02,1,Confirmed,5,10138,3,Website
BK012,C025,PKG021,PAY012,2025-05-28,2025-07-01,3,Confirmed,20,533443,5,Mobile App
BK013,C113,PKG007,PAY013,2025-07-01,2025-07-19,2,Confirmed,10,7972,4,Mobile App
BK014,C079,PKG049,PAY014,2025-08-12,2025-09-03,5,Confirmed,15,24429,3,Mobile App
BK015,C022,PKG052,PAY015,2025-08-16,2025-09-29,4,Confirmed,0,32040,3,Website
BK016,C055,PKG025,PAY016,2025-06-08,2025-07-26,3,Confirmed,10,11605,5,Website
BK017,C108,PKG009,PAY017,2025-01-31,2025-04-01,4,Cancelled,0,222748,3,Others
BK018,C042,PKG014,PAY018,2025-04-26,2025-06-16,3,Pending,20,45590,5,Friend Referral
BK019,C008,PKG022,PAY019,2025-03-12,2025-04-13,6,Confirmed,0,64032,4,Social Media
BK020,C051,PKG018,PAY020,2025-03-28,2025-05-24,1,Confirmed,15,72399,4,Website
BK021,C073,PKG045,PAY021,2025-07-19,2025-09-17,1,Cancelled,0,88790,3,Friend Referral
BK022,C006,PKG010,PAY022,2025-07-11,2025-08-09,3,Pending,0,22227,5,Website
BK023,C036,PKG013,PAY023,2025-10-09,2025-10-31,3,Pending,15,18408,5,Mobile App
BK024,C039,PKG046,PAY024,2025-06-16,2025-06-27,4,Confirmed,20,16134,5,Mobile App
