Payment_ID,Payment_Method,Payment_Status,Payment_Date,Refund_Amount
PAY001,UPI,Successful,2025-01-02,0
PAY002,Credit Card,Successful,2025-10-27,0
PAY003,UPI,Successful,2025-07-24,0
PAY004,UPI,Successful,2025-07-29,0
PAY005,Wallet,Successful,2025-09-26,0
PAY006,Credit Card,Refunded,2025-08-14,38964
PAY007,Debit Card,Successful,2025-10-27,0
PAY008,Credit Card,Successful,2025-09-12,0
PAY009,Net Banking,Successful,2025-06-21,0
PAY010,Credit Card,Successful,2025-03-16,0
PAY011,Wallet,Successful,2025-05-18,0
PAY012,Debit Card,Successful,2025-05-30,0
PAY013,Debit Card,Successful,2025-07-02,0
PAY014,Wallet,Successful,2025-08-13,0
PAY015,Wallet,Successful,2025-08-16,0
PAY016,Net Banking,Successful,2025-06-08,0
PAY017,Credit Card,Refunded,2025-02-01,175304
PAY018,Credit Card,Successful,2025-04-26,0
PAY019,Credit Card,Successful,2025-03-12,0
PAY020,Debit Card,Successful,2025-03-28,0
PAY021,UPI,Refunded,2025-07-21,44841
PAY022,Credit Card,Successful,2025-07-13,0
PAY023,Credit Card,Successful,2025-10-10,0
PAY024,Debit Card,Successful,2025-06-16,0
PAY025,Credit Card,Successful,2025-09-30,0
PAY026,Net Banking,Successful,2025-07-21,0
PAY027,UPI,Successful,2025-01-22,0
PAY028,Debit Card,Successful,2025-04-22,0
PAY029,UPI,Refunded,2025-08-04,204402
PAY030,UPI,Successful,2025-02-20,0
PAY031,UPI,Successful,2025-02-12,0
PAY032,Debit Card,Successful,2025-04-17,0
PAY033,Credit Card,Successful,2025-04-29,0
PAY034,UPI,Successful,2025-02-03,0
PAY035,Net Banking,Successful,2025-03-21,0
PAY036,UPI,Successful,2025-08-29,0
PAY037,Debit Card,Successful,2025-08-17,0
PAY038,Debit Card,Successful,2025-08-09,0
PAY039,Wallet,Successful,2025-04-14,0
PAY040,Debit Card,Successful,2025-07-06,0
PAY041,Wallet,Successful,2025-06-11,0
PAY042,UPI,Successful,2025-03-02,0
PAY043,UPI,Failed,2025-09-11,0
